track_id,track_name,track_artist,track_album_release_date,track_duration_ms,sound_danceability,sound_energy,sound_key,sound_loudness,sound_mode,sound_speechiness,sound_acousticness,sound_instrumentalness,sound_liveness,sound_valence,sound_tempo,genre_edm,genre_latin,genre_pop,genre_rnb,genre_rap,genre_rock,has_listenership
3fxETTPvwxkkpq3Ax2ZbcN,Devil's Keep,Tyler Bryant & the Shakedown,2015-11-13,265587,0.646,0.724,11,-5.383,1,0.0237,0.0531,0.000588,0.0597,0.328,103.394,0,0,0,0,0,1,0
2Y3eAKHXWZy5r88VEhIkL5,Bazooka - Original Mix,Firebeatz,2014-06-02,240000,0.577,0.833,0,-4.395,1,0.0545,0.00175,0.157,0.123,0.22,128.012,1,0,0,0,0,0,0
6iWnIObjnBMlaKgrAZgUA1,Vapormax,Duki,2019-03-19,112381,0.911,0.664,10,-8.514,0,0.0777,0.0291,0.0,0.129,0.8,125.972,0,0,0,0,1,0,0
2tVUhD4EtfOKb4n73BrIaq,Won't Do,J Dilla,2006-08-21,224343,0.774,0.704,1,-5.351,1,0.247,0.0876,0.0,0.193,0.586,94.109,0,0,0,1,0,0,0
4NO3hYYJudCN6MrcToFCos,Beautiful,Snoop Dogg,2002-01-01,298307,0.905,0.693,11,-6.418,0,0.131,0.234,0.0,0.0845,0.963,101.019,0,0,0,1,0,0,0
2DMBgcvj7IVzTxTNCSmgPo,Chuck Norris - Radio Edit,Kongsted,2013,175251,0.735,0.948,7,-5.503,1,0.059,0.000339,0.853,0.289,0.794,128.038,1,0,0,0,0,0,0
2HzMIJjLgXGbfSWzQlrKtZ,Sufrir,Javiera Mena,2010-09-01,225493,0.718,0.836,1,-5.28,1,0.0356,0.009,0.014,0.124,0.77,112.016,0,0,1,0,0,0,0
76IcyIbm2z4TJ7VjQ1tCkS,Who Are You - Single Edit,The Who,2008-07-07,299227,0.638,0.75,9,-7.659,1,0.043,0.198,0.00172,0.232,0.501,156.331,0,0,0,0,0,1,0
7eVZbb7YlUopOeuiyRcJ7Z,Heartbeat (feat. Collin McLoughlin),Vicetone,2013-03-11,393750,0.72,0.77,11,-4.069,0,0.0762,0.035,1.88e-06,0.46,0.217,127.996,1,0,0,0,0,0,0
6W5UnsRN3VLw6YlqIGqHKc,I'll Never Forget You,Ballin Entertainment,2008-04-20,148663,0.425,0.747,10,-14.356,0,0.0598,0.0113,0.000461,0.266,0.557,126.734,0,1,0,0,0,0,0
4PvSXqDZXQYE9lKWaWz4lI,Come Back To Me - Vicetone Remix,Urban Cone,2015-04-24,186666,0.549,0.767,6,-4.236,0,0.0303,0.0018,1.34e-05,0.276,0.406,108.037,1,0,0,0,0,0,0
1xTRBBczIpKiqgFBrXZ6JY,PARANOIA,Jonna Fraser,2018-11-02,177994,0.779,0.471,1,-8.735,0,0.115,0.237,0.0722,0.102,0.349,94.985,0,1,0,0,0,0,0
1xEOoCGmv8rotFDo7n8GAg,Power,Hardwell,2017-09-22,148837,0.49,0.907,5,-4.063,0,0.108,0.000427,0.0,0.116,0.21,132.057,1,0,0,0,0,0,0
4zz9PWsnrYqtFEPUaSh8jj,Strassen,Ascii.Disko,2003,310347,0.687,0.627,8,-7.59,1,0.047,0.00568,0.14,0.113,0.0655,126.018,0,0,1,0,0,0,0
1sZnQFDHBNr3BRa89NnKo9,Puzzles - Radio Edit,Lenx & Denx,2016-05-30,209345,0.569,0.844,4,-6.174,1,0.0369,0.0189,0.187,0.587,0.27,125.036,1,0,0,0,0,0,0
4yEXem27DzCg8xytvvO3E9,Lollipop (Candyman),Aqua,2009-01-01,215053,0.716,0.981,0,-3.612,0,0.031,0.0317,0.0074,0.171,0.861,139.047,0,0,1,0,0,0,0
2UYXTSZkSxWJYGpcd64SRO,La Nueva Y La Ex,Daddy Yankee,2013-01-01,197053,0.637,0.945,5,-3.54,1,0.135,0.0373,0.0,0.116,0.578,198.05,0,1,0,0,0,0,0
02jRaYitEwEyi4VLjn8lVh,So I,Jamie Jones,2005-06-28,211160,0.825,0.539,7,-5.108,1,0.191,0.0815,0.000958,0.118,0.791,99.009,0,0,0,1,0,0,0
4JOcMuy5myeEaNCKlu5j19,Perdóname,Eddy Lover,2008-01-01,243027,0.679,0.818,9,-5.67,0,0.0315,0.244,0.0,0.158,0.392,95.013,0,1,0,0,0,0,0
418jgbEz7ltzIyR4EL00U2,Honey,Erykah Badu,2008-02-26,320973,0.399,0.802,6,-7.869,0,0.35,0.0273,0.00387,0.187,0.437,87.818,0,0,0,1,0,0,0
0wluNeQun3skjhq9cZZTbw,Down On This - Original Mix,RoulnDoors,2014-12-01,274016,0.75,0.937,7,-1.638,1,0.0637,0.000535,0.0921,0.0548,0.607,127.014,0,1,0,0,0,0,0
2B15MgKTaavdlKdlwd4W0R,Georgia,Kevin Abstract,2019-04-11,219467,0.664,0.522,8,-9.677,1,0.11,0.729,0.000126,0.0935,0.289,134.047,0,0,0,0,1,0,0
6Sd7GgEy2qvX1puD1jb2J7,Alright - Remastered,Janet Jackson,2005-05-02,386533,0.668,0.89,11,-7.128,1,0.036,0.0983,0.514,0.565,0.964,111.737,0,0,0,1,0,0,0
0zEnD8K1PZROX1Zsr7QZeq,Апокалипсис,Vitya AK,2012-06-01,259843,0.803,0.66,9,-6.502,0,0.372,0.721,0.0,0.112,0.708,169.98,0,0,0,0,1,0,0
